评估资产,文化程度,人均工资,月末合计,货币资金,应收票据,存货,固定资产,总资产,借款,应付票据,应交税金,实收资本,负债及权益,应收帐款,预付账款,应付账款,收入,成本税金,期间费用,外收净额,所得税,净利润,毛利率,净利率,个人保证,企业保证,房产抵押,知识产权质押,应收账款质押,营运资金,净资产,资产负债率,流动比率,速动比率,长期资产适宜率,齿轮比率,年营业收入,销售利润率,净资产回报率,利息保障倍数,净资产增长率,销售收入增长率,利润增长率,利润增长额,报告编号
1.0,5.0,21000.0,6579.0,7339.0,983.0,29744.0,1198.0,88109.0,13200.551692048537,0.0,1794.0,379.0,88109.0,28336.976830523425,7821.0,1936.0,136167.0,104575.0,16790.0,8.0,2104.802881570747,10365.684718726967,0.23,0.08,1.0,1.0,1.0,0.0,0.0,38818.0,37260.0,0.58,1.82,1.19,33.99,0.79,136167.0,0.08,0.36,5.67,0.44,0.36,0.73,4831.0,069792201
1.0,4.0,7546.0,804.0,1445.0,0.0,3346.0,247.0,11970.0,3492.0,0.0,0.0,1000.0,11970.0,3276.0,172.0,0.0,23805.0,19106.0,4537.0,113.0,49.0,226.0,0.2,0.01,1.0,0.0,0.0,0.0,0.0,7973.0,8220.0,0.31,2.68,1.97,33.28,0.46,23805.0,0.01,0.03,2.51,0.03,-0.15,-0.57,-294.0,071782202
1.0,5.0,7024.0,172.0,80.0,10.0,3001.0,12735.0,25128.0,2889.0,0.0,-23.0,1600.0,25128.0,6865.0,0.0,5359.0,18122.0,15353.0,1394.0,-2.0,0.0,2199.0,0.15,0.12,1.0,0.0,0.0,0.0,0.0,2206.0,16258.0,0.35,1.26,0.91,1.22,0.18,18122.0,0.12,0.15,17.61,0.17,0.9,4.44,1795.0,073662101
0.0,4.0,6824.0,153.0,250.0,935.0,5151.0,8762.0,24429.0,3148.0,1346.0,1031.0,2000.0,24429.0,7974.0,0.0,6529.0,24104.0,16999.0,4340.0,158.0,27.0,2894.0,0.3,0.12,1.0,0.0,0.0,0.8462543190414205,1.0,5352.0,11034.0,0.55,1.52,1.02,1.61,0.41,24104.0,0.12,0.3,6.77,0.38,0.39,0.43,866.0,075392204
0.0,3.0,8642.0,483.0,3823.0,0.0,5631.0,351.0,18563.0,2719.0,0.0,240.0,5560.0,18563.0,3670.0,205.0,2912.0,19115.0,13581.0,5093.0,95.0,0.0,814.0,0.28,0.04,1.0,1.0,0.0,0.8462543190414205,0.0,4464.0,11016.0,0.41,1.51,1.08,1.58,0.09,19115.0,0.03,0.05,17.32,0.11,0.0,2.37,1036.0,075842201
0.0,3.0,12196.0,245.0,276.0,173.0,613.0,74.0,5672.0,365.0,0.0,29.0,2600.0,5672.0,2742.0,629.0,208.0,3361.0,2715.0,638.0,6.0,4.0,11.0,0.19,0.0,1.0,0.0,0.0,0.0,0.0,3729.0,4857.0,0.14,5.58,4.82,5.75,0.08,3361.0,0.0,0.0,1.97,0.0,0.11,-0.71,-28.0,076372201
1.0,4.0,8666.0,3462.0,109.0,0.0,241.0,470.0,7556.0,2920.0,0.0,-62.0,2010.0,7556.0,2583.0,1526.0,553.0,3240.0,2314.0,854.0,107.0,0.0,179.0,0.29,0.06,1.0,1.0,0.0,0.0,0.0,3394.0,3623.0,0.5,1.95,1.89,7.96,0.78,3240.0,0.06,0.04,3.17,-0.36,0.76,0.35,47.0,076672101
1.0,3.0,9895.027583624564,1182.0,1258.0,0.0,11670.0,2996.0,39325.0,10144.0,0.0,402.0,8000.0,39325.0,6264.0,824.0,4581.0,66227.0,59953.0,6234.0,-15.0,695.0,2086.0,0.09,0.03,1.0,1.0,0.0,0.0,0.0,6134.0,20879.0,0.47,1.34,0.69,1.43,0.48,66227.0,0.03,0.11,5.99,0.24,-0.14,0.94,1010.0,080382201
1.0,4.0,17206.335868518705,1358.0,3661.0,0.0,3146.0,145.0,10475.0,1553.0,0.0,189.0,918.0,10475.0,2910.0,0.0,770.0,29884.0,24299.0,686.0,109.0,0.0,5009.0,0.19,0.17,1.0,0.0,0.0,0.0,0.0,5881.0,6025.0,0.42,2.32,1.61,41.54,0.26,29884.0,0.17,1.11,107.35,1.02,0.8,1.43,2951.0,082282101
1.0,5.0,9084.0,2058.0,1262.0,5.0,12329.0,4157.0,37953.0,1650.0,0.0,1.0,3459.0,37953.0,11723.0,5765.0,12074.0,31056.0,19556.0,3307.0,-2.0,438.0,7754.0,0.37,0.25,1.0,0.0,0.0,0.8462543190414205,0.0,7888.0,14154.0,0.63,1.34,0.81,2.33,0.12,31056.0,0.25,0.71,84.86,0.85,1.76,13.27,7210.0,082292202
1.0,4.0,10654.0,385.0,441.0,0.0,0.0,2.0,6319.0,1500.0,0.0,10.0,1000.0,6319.0,2808.0,735.0,3100.0,24772.0,23118.0,1232.0,2.0,60.0,364.0,0.07,0.01,1.0,0.0,0.0,0.0,0.0,5.0,220.0,0.97,1.0,1.0,1.01,6.81,24772.0,0.01,9.69,5.16,-2.52,2.43,2.57,262.0,082942201
